cod;cidade;uf;janeiro;fevereiro;março;abril;maio;junho;julho;agosto;setembro;outubro;novembro;dezembro
83782;Santos;SP;255,9;220,3;221,1;193,6;144,3;106,2;121,6;78,4;130,2;146;162;210,9
83726;São Carlos;SP;270,6;200,5;187,2;71,9;66,3;39;35,7;34,7;65,5;136,1;163,9;276,9
83809;São José dos Campos;SP;192,5;151,2;132,8;59,8;30,3;32,5;26,6;31,9;52,8;120,5;122;202,1
83856;São Paulo - Horto Florestal;SP;245,6;243,8;159,2;76;59,7;58,7;53,1;39,9;76,2;162,7;195,7;220,6
83781;São Paulo (Mir. de Santana);SP;237,4;221,5;160,5;72,6;71,4;50,1;43,9;39,6;70,7;126,9;145,8;200,7
83669;São Simão;SP;256,8;217,6;164;80,1;52,1;29,2;30,2;30,3;62;126,7;178;262,3
83667;Sertãozinho;SP;247;192,3;148,4;91,2;43,2;31,7;28,3;24,1;56,8;152;171,9;266
83851;Sorocaba;SP;211,8;146;128,6;63,2;104,6;71,8;48,3;32,2;72,2;104,1;138,4;209,4
83784;Taubaté;SP;233,5;192,1;173,5;67,1;40,9;29,3;31,1;41,7;64;132,8;146,2;244,6
83857;Tremembé;SP;255;165,4;187,5;78,6;49,4;41,9;19,7;31,1;78,3;144,5;149,2;214,9
83786;Ubatuba;SP;324,2;318,6;321,2;238,5;137,2;90;104,2;79,9;174,6;218,6;239,5;350,8
83629;Usina Junqueira;SP;294,1;291,8;178,9;71,4;23,7;16,8;17,3;9,2;51,4;187,3;161,5;258,9
83623;Votuporanga;SP;243,6;137,5;148,4;91,8;52,7;19,3;22,9;13,9;48,6;97,6;133,5;220,1
83033;Palmas;TO;245,7;216,7;170,8;100,3;14,9;1,7;0,2;2,4;19,2;120,8;196,6;211,9
83231;Paranã;TO;252,4;206,7;170,5;101,4;17,8;0,4;0,2;1,4;19,4;114,7;195,3;218,1
82863;Pedro Afonso;TO;297,4;250,3;231,8;178,2;33,9;6,4;1;17;50,6;182,3;204,7;266,9
83228;Peixe;TO;284,8;250,6;232,1;119;29,1;4,1;4,3;6,5;35,9;133,6;216,9;284,2
83064;Porto Nacional;TO;252,5;270,5;259,2;146,5;39,6;4,4;4,9;5,7;47,5;173,3;207,7;249,4
83235;Taguatinga;TO;306;243,4;229,7;132,9;18,2;4,4;2;2,8;27,5;131,9;220;296,2
