modelo;marca;ano;data_referencia;valor
MOBI EASY COMFORT 1.0 Flex 5p.;Fiat;0 km;2018-11-01;35586
MOBI EASY COMFORT 1.0 Flex 5p.;Fiat;0 km;2018-12-01;35225
MOBI EASY on 1.0 Fire Flex 5p.;Fiat;0 km;2018-01-01;35521
MOBI EASY on 1.0 Fire Flex 5p.;Fiat;0 km;2018-02-01;35112
MOBI EASY on 1.0 Fire Flex 5p.;Fiat;0 km;2018-03-01;35318
MOBI LIKE 1.0 Fire Flex 5p.;Fiat;0 km;2018-01-01;38049
MOBI LIKE 1.0 Fire Flex 5p.;Fiat;0 km;2018-02-01;37861
MOBI LIKE 1.0 Fire Flex 5p.;Fiat;0 km;2018-03-01;37503
MOBI LIKE 1.0 Fire Flex 5p.;Fiat;0 km;2018-04-01;37349
MOBI LIKE 1.0 Fire Flex 5p.;Fiat;0 km;2018-05-01;37650
MOBI LIKE 1.0 Fire Flex 5p.;Fiat;0 km;2018-06-01;37963
MOBI LIKE 1.0 Fire Flex 5p.;Fiat;0 km;2018-07-01;38123
MOBI LIKE 1.0 Fire Flex 5p.;Fiat;0 km;2018-08-01;38309
MOBI LIKE 1.0 Fire Flex 5p.;Fiat;0 km;2018-09-01;38747
MOBI LIKE 1.0 Fire Flex 5p.;Fiat;0 km;2018-10-01;38374
MOBI LIKE 1.0 Fire Flex 5p.;Fiat;0 km;2018-11-01;38172
MOBI LIKE 1.0 Fire Flex 5p.;Fiat;0 km;2018-12-01;37949
MOBI LIKE 1.0 Fire Flex 5p.;Fiat;2018;2018-01-01;35004
MOBI LIKE 1.0 Fire Flex 5p.;Fiat;2018;2018-02-01;34710
MOBI LIKE 1.0 Fire Flex 5p.;Fiat;2018;2018-03-01;34515
MOBI LIKE 1.0 Fire Flex 5p.;Fiat;2018;2018-04-01;34974
MOBI LIKE 1.0 Fire Flex 5p.;Fiat;2018;2018-05-01;34980
MOBI LIKE 1.0 Fire Flex 5p.;Fiat;2018;2018-06-01;34799
MOBI LIKE 1.0 Fire Flex 5p.;Fiat;2018;2018-07-01;33541
MOBI LIKE 1.0 Fire Flex 5p.;Fiat;2018;2018-08-01;33894
MOBI LIKE 1.0 Fire Flex 5p.;Fiat;2018;2018-09-01;33625
MOBI LIKE 1.0 Fire Flex 5p.;Fiat;2018;2018-10-01;33701
MOBI LIKE 1.0 Fire Flex 5p.;Fiat;2018;2018-11-01;34178
MOBI LIKE 1.0 Fire Flex 5p.;Fiat;2018;2018-12-01;34020
MOBI LIKE ON 1.0 Fire Flex 5p.;Fiat;0 km;2018-01-01;40602
MOBI LIKE ON 1.0 Fire Flex 5p.;Fiat;0 km;2018-02-01;40602
MOBI LIKE ON 1.0 Fire Flex 5p.;Fiat;0 km;2018-03-01;39980
MOBI WAY 1.0 Fire Flex 5p.;Fiat;0 km;2018-01-01;38724
MOBI WAY 1.0 Fire Flex 5p.;Fiat;0 km;2018-02-01;38757
MOBI WAY 1.0 Fire Flex 5p.;Fiat;0 km;2018-03-01;38515
MOBI WAY 1.0 Fire Flex 5p.;Fiat;0 km;2018-04-01;38803
MOBI WAY 1.0 Fire Flex 5p.;Fiat;0 km;2018-05-01;39317
MOBI WAY 1.0 Fire Flex 5p.;Fiat;0 km;2018-06-01;39529
MOBI WAY 1.0 Fire Flex 5p.;Fiat;0 km;2018-07-01;40076
MOBI WAY 1.0 Fire Flex 5p.;Fiat;0 km;2018-08-01;40515
MOBI WAY 1.0 Fire Flex 5p.;Fiat;0 km;2018-09-01;40650
MOBI WAY 1.0 Fire Flex 5p.;Fiat;0 km;2018-10-01;40985
MOBI WAY 1.0 Fire Flex 5p.;Fiat;0 km;2018-11-01;40874
MOBI WAY 1.0 Fire Flex 5p.;Fiat;0 km;2018-12-01;41085
MOBI WAY 1.0 Fire Flex 5p.;Fiat;2018;2018-01-01;35615
MOBI WAY 1.0 Fire Flex 5p.;Fiat;2018;2018-02-01;35266
MOBI WAY 1.0 Fire Flex 5p.;Fiat;2018;2018-03-01;35137
MOBI WAY 1.0 Fire Flex 5p.;Fiat;2018;2018-04-01;35600
MOBI WAY 1.0 Fire Flex 5p.;Fiat;2018;2018-05-01;35699
MOBI WAY 1.0 Fire Flex 5p.;Fiat;2018;2018-06-01;36189
MOBI WAY 1.0 Fire Flex 5p.;Fiat;2018;2018-07-01;35469
MOBI WAY 1.0 Fire Flex 5p.;Fiat;2018;2018-08-01;35788
MOBI WAY 1.0 Fire Flex 5p.;Fiat;2018;2018-09-01;35587
MOBI WAY 1.0 Fire Flex 5p.;Fiat;2018;2018-10-01;36221
MOBI WAY 1.0 Fire Flex 5p.;Fiat;2018;2018-11-01;36742
MOBI WAY 1.0 Fire Flex 5p.;Fiat;2018;2018-12-01;36533
MOBI WAY on 1.0 Fire Flex 5p.;Fiat;0 km;2018-01-01;42725
MOBI WAY on 1.0 Fire Flex 5p.;Fiat;0 km;2018-02-01;42292
MOBI WAY on 1.0 Fire Flex 5p.;Fiat;0 km;2018-03-01;42982
KA 1.0 S TiVCT Flex 5p;Ford;0 km;2018-01-01;39905
KA 1.0 S TiVCT Flex 5p;Ford;0 km;2018-02-01;40022
KA 1.0 S TiVCT Flex 5p;Ford;0 km;2018-03-01;40482
KA 1.0 S TiVCT Flex 5p;Ford;0 km;2018-04-01;40919
KA 1.0 S TiVCT Flex 5p;Ford;0 km;2018-05-01;41412
KA 1.0 S TiVCT Flex 5p;Ford;0 km;2018-06-01;41293
KA 1.0 S TiVCT Flex 5p;Ford;0 km;2018-07-01;40700
KA 1.0 S TiVCT Flex 5p;Ford;0 km;2018-08-01;40311
KA 1.0 S TiVCT Flex 5p;Ford;0 km;2018-09-01;40109
KA 1.0 S TiVCT Flex 5p;Ford;0 km;2018-10-01;41646
KA 1.0 S TiVCT Flex 5p;Ford;0 km;2018-11-01;41966
KA 1.0 S TiVCT Flex 5p;Ford;0 km;2018-12-01;41445
KA 1.0 S TiVCT Flex 5p;Ford;2018;2018-01-01;36425
KA 1.0 S TiVCT Flex 5p;Ford;2018;2018-02-01;36243
KA 1.0 S TiVCT Flex 5p;Ford;2018;2018-03-01;36151
KA 1.0 S TiVCT Flex 5p;Ford;2018;2018-04-01;36061
KA 1.0 S TiVCT Flex 5p;Ford;2018;2018-05-01;36544
KA 1.0 S TiVCT Flex 5p;Ford;2018;2018-06-01;36708
KA 1.0 S TiVCT Flex 5p;Ford;2018;2018-07-01;37194
KA 1.0 S TiVCT Flex 5p;Ford;2018;2018-08-01;37105
KA 1.0 S TiVCT Flex 5p;Ford;2018;2018-09-01;36871
KA 1.0 S TiVCT Flex 5p;Ford;2018;2018-10-01;36845
