model;make;year;date;price
ARGO DRIVE 1.3 8V Flex;Fiat;2018;2018-08-01;50010
ARGO DRIVE 1.3 8V Flex;Fiat;2018;2018-09-01;49009
ARGO DRIVE 1.3 8V Flex;Fiat;2018;2018-10-01;47361
ARGO DRIVE 1.3 8V Flex;Fiat;2018;2018-11-01;46975
ARGO DRIVE 1.3 8V Flex;Fiat;2018;2018-12-01;46982
ARGO DRIVE 1.3 8V Flex;Fiat;2018;2019-01-01;46781
ARGO DRIVE 1.3 8V Flex;Fiat;2018;2019-02-01;47599
ARGO DRIVE 1.3 8V Flex;Fiat;2018;2019-03-01;48129
ARGO DRIVE 1.3 8V Flex;Fiat;2018;2019-04-01;48172
ARGO DRIVE 1.3 8V Flex;Fiat;2018;2019-05-01;48199
ARGO DRIVE 1.3 8V Flex;Fiat;2018;2019-06-01;47055
ARGO DRIVE 1.3 8V Flex;Fiat;2018;2019-07-01;46559
ARGO DRIVE 1.3 8V Flex;Fiat;2018;2019-08-01;46365
ARGO DRIVE GSR 1.3 8V Flex;Fiat;0 km;2017-07-01;58265
ARGO DRIVE GSR 1.3 8V Flex;Fiat;0 km;2017-08-01;59066
ARGO DRIVE GSR 1.3 8V Flex;Fiat;0 km;2017-09-01;59300
ARGO DRIVE GSR 1.3 8V Flex;Fiat;0 km;2017-10-01;59986
ARGO DRIVE GSR 1.3 8V Flex;Fiat;0 km;2017-11-01;59806
ARGO DRIVE GSR 1.3 8V Flex;Fiat;0 km;2017-12-01;59793
ARGO DRIVE GSR 1.3 8V Flex;Fiat;0 km;2018-01-01;59538
ARGO DRIVE GSR 1.3 8V Flex;Fiat;0 km;2018-02-01;59299
ARGO DRIVE GSR 1.3 8V Flex;Fiat;0 km;2018-03-01;59602
ARGO DRIVE GSR 1.3 8V Flex;Fiat;0 km;2018-04-01;59574
ARGO DRIVE GSR 1.3 8V Flex;Fiat;0 km;2018-05-01;59810
